outer_fold,model,params
1,t13,"{""is_unbalance"": true, ""learning_rate"": 0.06187732741485143, ""n_estimators"": 28, ""num_leaves"": 133}"
1,t18,"{""is_unbalance"": true, ""learning_rate"": 0.02183860637053463, ""n_estimators"": 65, ""num_leaves"": 80}"
1,t21,"{""is_unbalance"": true, ""learning_rate"": 0.012504108294834579, ""n_estimators"": 1, ""num_leaves"": 111}"
1,interaction,"{""is_unbalance"": true, ""learning_rate"": 0.013037923938088749, ""n_estimators"": 14, ""num_leaves"": 78}"
1,meta,"{""learning_rate"": 0.010660553192490341, ""max_depth"": 8, ""n_estimators"": 500, ""num_leaves"": 21}"
2,t13,"{""is_unbalance"": true, ""learning_rate"": 0.024689818889857374, ""n_estimators"": 5, ""num_leaves"": 127}"
2,t18,"{""is_unbalance"": true, ""learning_rate"": 0.03665391076300237, ""n_estimators"": 14, ""num_leaves"": 49}"
2,t21,"{""is_unbalance"": true, ""learning_rate"": 0.010326631189817605, ""n_estimators"": 1, ""num_leaves"": 27}"
2,interaction,"{""is_unbalance"": true, ""learning_rate"": 0.011332204955323666, ""n_estimators"": 6, ""num_leaves"": 42}"
2,meta,"{""learning_rate"": 0.010456818646853657, ""max_depth"": 7, ""n_estimators"": 50, ""num_leaves"": 31}"
3,t13,"{""is_unbalance"": true, ""learning_rate"": 0.09702799380273114, ""n_estimators"": 31, ""num_leaves"": 132}"
3,t18,"{""is_unbalance"": true, ""learning_rate"": 0.02698566812695849, ""n_estimators"": 8, ""num_leaves"": 19}"
3,t21,"{""is_unbalance"": true, ""learning_rate"": 0.010508523987183736, ""n_estimators"": 10, ""num_leaves"": 25}"
3,interaction,"{""is_unbalance"": true, ""learning_rate"": 0.0293218200115144, ""n_estimators"": 5, ""num_leaves"": 138}"
3,meta,"{""learning_rate"": 0.011438620300174535, ""max_depth"": 5, ""n_estimators"": 34, ""num_leaves"": 142}"
