类别,校验项,数值,单位,结论
L2 求解,第一阶段 LP 最优值（严格下界）,12230133.589315,元,参考
L2 求解,第二阶段无空转可行解费用,12230133.590315,元,通过
L2 求解,第二阶段费用上浮容差,0.001000,元,参考
L2 求解,达成费用减下界,0.001000,元,通过
L2 求解,第二阶段最小充放电总吞吐,12006852.571872,kWh,参考
L2 求解,三个整段问题求解用时合计,40.377260,s,参考
L2 约束,最大同时充放电量,0.000000,kWh,通过
L2 约束,最大电量平衡残差,0.000000,kWh,通过
L2 约束,最大状态转移残差,0.000000,kWh,通过
L2 约束,剩余电量超过可用光伏与购电之和的最大值,0.000000,kWh,通过
L2 约束,未利用购电量超过当期购电量的最大值,0.000000,kWh,通过
L2 边界,全知储电量最小值,1200.000000,kWh,通过
L2 边界,全知储电量最大值,10800.000000,kWh,通过
L2 边界,全知年末储电量,5400.000000,kWh,通过
L2 数量,全知计划购电总量,20189186.245749,kWh,参考
L2 数量,全知充电总量,6633321.862913,kWh,参考
L2 数量,全知放电总量,5373530.708960,kWh,参考
L2 数量,全知弃光总量,990168.090312,kWh,参考
L2 数量,全知未利用购电总量,0.000000,kWh,参考
L2 稳健性,L2′ 固定末态下界费用,12230373.395290,元,参考
L2 稳健性,L2′ 减 L2,239.804975,元,参考
L2 稳健性,全年 365 天下界费用,13753236.485398,元,参考
L1 校验,完美日预测总费用,12245079.421583,元,参考
L1 校验,完美日预测紧急购电量,0.000000,kWh,通过
L1 校验,完美日预测末态储电量,6000.000000,kWh,通过
L1 校验,完美日预测求解失败次数,0,次,通过
L1 校验,完美日预测用时,71.412159,s,参考
差距,Δ预测误差 = J0 − J1,1743839.366660,元,参考
差距,Δ逐日结构 = J1 − J2,14945.831268,元,参考
差距,Δ总差距 = J0 − J2,1758785.197928,元,参考
差距,Δ总差距占 J0 比例,0.125727,比例,参考
交叉校验,L0 明细逐时段费用求和,13988918.787828,元,参考
交叉校验,L0 明细费用求和减审计费用,-0.000415,元,通过
交叉校验,L0 计划购电总量（明细求和，含展示舍入）,21996443.786333,kWh,参考
交叉校验,L0 计划购电总量（明细求和减模型校验）,0.000019,kWh,参考
交叉校验,L0 弃光总量（明细求和减模型校验）,0.000002,kWh,参考
交叉校验,L0 未利用购电总量（明细求和减模型校验）,-0.000105,kWh,参考
下界命题,嵌入点最大电量平衡残差,0.000001,kWh,通过
下界命题,嵌入点最大状态转移残差,0.000001,kWh,通过
下界命题,嵌入点剩余电量超过可用光伏与购电之和的最大值,0.000000,kWh,通过
下界命题,嵌入点购电费用（Σ p(g_plan+h)）,13513821.479404,元,参考
下界命题,嵌入点费用减 L2 下界,1283687.890089,元,通过
下界命题,L0 实际费用减嵌入点费用（紧急电价 5 倍）,475097.308839,元,通过
下界命题,嵌入点年末储电量,5909.232259,kWh,通过
