诊断项,数值,单位或说明
日期,2025-01-01,
失败时段序号,132,从1开始
失败时间段,21:50-22:00,
求解阶段,第一目标 MILP,
求解状态,2,
求解器信息,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),
当前储电量,1200.0,kWh
当前冻结购电量,1393.7903166666665,kWh
当前实际负载,560.5,kWh
当前实际光伏,0.0,kWh
剩余时段允许充电总量上界,4666.6236499999995,kWh
日末可达储电量上界,5399.961284999999,kWh
日末下限缺口,0.038715000000593136,kWh
日末下限,5400.0,kWh
日末上限,6600.0,kWh
未来输入来源,仅使用0:00预测，不含后续实测,
训练样本截止日,附件1先验,
参数验证截止日,预设参数,
负载衰减天数,14.0,天
光伏衰减天数,14.0,天
已完成运行日数,0,天
失败当日已完成滚动次数,131,次
结果状态,本次运行失败，未生成正式结果；已有正式文件可能来自旧方案,
