类别,校验项,数值,单位,结论
区间,评价区间,2025-02-01 至 2025-12-31,,参考
区间,正式期天数,334,天,通过
区间,10 分钟时段数,48096,个,通过
区间,初始储电量,6000.000000,kWh,参考
区间,每日末态允许区间,"[5400, 6600]",kWh,参考
信息,预测使用的最晚实际数据日期,2025-12-31,,全知视角：与正式期最后一天相同，不满足非前视约束
信息,紧急购电价格倍数,5,倍,因果模型费用口径；全知视角不产生紧急购电，该倍数不进入本模型目标函数
信息,紧急购电需求量,0.000000,kWh,全知视角：完美预见下计划购电即实际购电
求解,全局最优证书,LP 松弛互补性认证,,参考
求解,求解器状态码,0,,通过
求解,求解器信息,Optimization terminated successfully. (HiGHS Status 7: Optimal),,参考
求解,LP 松弛最优值,12241228.517471,元,下界
求解,MILP 目标值,12241228.517471,元,参考
求解,MILP 对偶界,无,元,下界
求解,MIP 相对间隙,0,比例,通过
求解,是否已证明全时段全局最优,是,,是：LP 互补性认证或 MILP 相对间隙达标；否：仅给出上下界
求解,LP 松弛同时充放电最大重叠量,0,kWh,参考
求解,LP 求解耗时,2.517,s,参考
求解,MILP 求解耗时,无,s,参考
约束,最大电量平衡残差,2.27373675443e-13,kWh,通过
约束,最大储电量状态转移残差,1.02318153949e-12,kWh,通过
约束,最大同时充放电重叠量,0,kWh,通过
约束,充放电模式最大整数残差,0,,通过
约束,充放电与购电边界最大越界量,0,kWh,通过
约束,弃光上限最大越界量,0,kWh,通过
约束,最小储电量,1200.000000,kWh,通过
约束,最大储电量,10800.000000,kWh,通过
约束,日末储电量最大值,6600.000000,kWh,参考
约束,日末储电量最小值,5400.000000,kWh,参考
约束,日末区间最大越界量,0,kWh,通过
约束,目标函数重算误差,4.09781932831e-08,元,通过
约束,全时段能量守恒残差,2.09183781408e-11,kWh,通过
数量,计划购电总量,20210421.636692,kWh,参考
数量,实际负载总量,37008079.489250,kWh,参考
数量,可用光伏总量,19068852.487767,kWh,参考
数量,充电总量,6745087.078405,kWh,参考
数量,放电总量,5464060.533508,kWh,参考
数量,弃光总量,990168.090312,kWh,参考
数量,储能循环损耗,1281626.544897,kWh,参考
数量,未利用计划购电总量,0.000000,kWh,全知视角恒为 0
数量,紧急购电总量,0.000000,kWh,全知视角恒为 0
数量,紧急购电 10 分钟时段数,0,个,全知视角恒为 0
费用,总购电费,12241228.517471,元,参考
费用,计划购电费,12241228.517471,元,参考
费用,紧急购电费,0.000000,元,全知视角恒为 0
费用,日均购电费,36650.384783,元/天,参考
费用,单位负载购电成本,0.330772,元/kWh,参考
费用,单位净负荷购电成本,0.646678,元/kWh,参考
对比,因果滚动模型 334 天总费用,14272696.316983,元,参考
对比,全知视角相对因果模型减少费用,2031467.799512,元,参考
对比,全知视角相对因果模型下降比例,0.142332,比例,参考
对比,因果滚动模型紧急购电费,930568.701378,元,参考
结论,全知视角能否作为问题二理论下界,是,,全知视角最优费用不高于任何满足非前视约束的因果策略实际费用
结论,全知视角能否作为附件 5 正式结果,否,,全知视角使用未来实际数据，违反题目非前视要求，只作论文参考
