person_id,branch,kernel,warnings
A001,GPR预测区间下界,0.0482**2 * RBF(length_scale=13.8) + WhiteKernel(noise_level=7.32e-05),
A002,无增长趋势,,
A003,GPR预测区间下界,0.0514**2 * RBF(length_scale=100) + WhiteKernel(noise_level=3.79e-05),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A004,GPR预测区间下界,0.0641**2 * RBF(length_scale=45.2) + WhiteKernel(noise_level=0.00017),
A005,GPR预测区间下界,0.141**2 * RBF(length_scale=19.1) + WhiteKernel(noise_level=0.00032),
A006,无增长趋势,,
A007,GPR预测区间下界,0.0306**2 * RBF(length_scale=100) + WhiteKernel(noise_level=4.19e-05),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A008,无增长趋势,,
A009,GPR预测区间下界,0.0832**2 * RBF(length_scale=14.6) + WhiteKernel(noise_level=0.00214),
A010,GPR预测区间下界,0.026**2 * RBF(length_scale=26.1) + WhiteKernel(noise_level=5e-05),
A011,GPR预测区间下界,0.048**2 * RBF(length_scale=36.3) + WhiteKernel(noise_level=0.000198),
A012,GPR预测区间下界,0.0444**2 * RBF(length_scale=14.2) + WhiteKernel(noise_level=9.5e-05),
A013,GPR预测区间下界,0.112**2 * RBF(length_scale=11.2) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A014,GPR预测区间下界,0.0589**2 * RBF(length_scale=7.38) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A015,GPR预测区间下界,0.047**2 * RBF(length_scale=6.16) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A016,GPR预测区间下界,0.0866**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000208),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A017,无增长趋势,,
A018,GPR预测区间下界,0.0702**2 * RBF(length_scale=20.1) + WhiteKernel(noise_level=7.44e-05),
A019,无增长趋势,,
A020,无增长趋势,,
A021,GPR预测区间下界,0.0941**2 * RBF(length_scale=63.6) + WhiteKernel(noise_level=7.65e-05),
A022,GPR预测区间下界,0.0587**2 * RBF(length_scale=13.8) + WhiteKernel(noise_level=7.05e-06),
A023,无增长趋势,,
A024,GPR预测区间下界,0.116**2 * RBF(length_scale=20.1) + WhiteKernel(noise_level=1.09e-05),
A025,GPR预测区间下界,0.0629**2 * RBF(length_scale=46.5) + WhiteKernel(noise_level=0.000102),
A026,GPR预测区间下界,0.0604**2 * RBF(length_scale=7.84) + WhiteKernel(noise_level=3.14e-05),
A027,GPR预测区间下界,0.107**2 * RBF(length_scale=6.53) + WhiteKernel(noise_level=1.18e-06),
A028,GPR预测区间下界,0.0892**2 * RBF(length_scale=34.6) + WhiteKernel(noise_level=0.000621),
A029,GPR预测区间下界,0.0786**2 * RBF(length_scale=11) + WhiteKernel(noise_level=1.62e-05),
A030,无增长趋势,,
A031,GPR预测区间下界,0.0463**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000181),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A032,GPR预测区间下界,0.0685**2 * RBF(length_scale=6.73) + WhiteKernel(noise_level=1.43e-06),
A033,GPR预测区间下界,0.137**2 * RBF(length_scale=10.3) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A034,GPR预测区间下界,0.0676**2 * RBF(length_scale=21.9) + WhiteKernel(noise_level=6.59e-05),
A035,GPR预测区间下界,0.0688**2 * RBF(length_scale=6.75) + WhiteKernel(noise_level=0.000147),
A036,GPR预测区间下界,0.0818**2 * RBF(length_scale=57.7) + WhiteKernel(noise_level=8.92e-05),
A037,GPR预测区间下界,0.0677**2 * RBF(length_scale=25.9) + WhiteKernel(noise_level=0.000229),
A038,GPR预测区间下界,0.109**2 * RBF(length_scale=6.09) + WhiteKernel(noise_level=3.24e-10),
A039,无增长趋势,,
A040,GPR预测区间下界,0.0919**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000419),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A041,无增长趋势,,
A042,GPR预测区间下界,0.037**2 * RBF(length_scale=65.2) + WhiteKernel(noise_level=0.000149),
A043,无增长趋势,,
A044,GPR预测区间下界,0.0503**2 * RBF(length_scale=31) + WhiteKernel(noise_level=0.000246),
A045,GPR预测区间下界,0.102**2 * RBF(length_scale=12.7) + WhiteKernel(noise_level=1.3e-06),
A046,GPR预测区间下界,0.225**2 * RBF(length_scale=27) + WhiteKernel(noise_level=0.000227),
A047,GPR预测区间下界,0.0935**2 * RBF(length_scale=23.4) + WhiteKernel(noise_level=0.000121),
A048,无增长趋势,,
A049,GPR预测区间下界,0.0685**2 * RBF(length_scale=18.9) + WhiteKernel(noise_level=6.61e-06),
A050,GPR预测区间下界,0.0937**2 * RBF(length_scale=15.9) + WhiteKernel(noise_level=0.00105),
A051,GPR预测区间下界,0.0954**2 * RBF(length_scale=11.6) + WhiteKernel(noise_level=4.75e-05),
A052,GPR预测区间下界,0.251**2 * RBF(length_scale=10.7) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A053,GPR预测区间下界,0.0456**2 * RBF(length_scale=15.1) + WhiteKernel(noise_level=0.000113),
A054,GPR预测区间下界,0.06**2 * RBF(length_scale=100) + WhiteKernel(noise_level=9.52e-05),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A055,GPR预测区间下界,0.0609**2 * RBF(length_scale=5.16) + WhiteKernel(noise_level=4.19e-06),
A056,GPR预测区间下界,0.125**2 * RBF(length_scale=21.8) + WhiteKernel(noise_level=5.94e-05),
A057,GPR预测区间下界,0.111**2 * RBF(length_scale=28.1) + WhiteKernel(noise_level=0.000895),
A058,GPR预测区间下界,0.173**2 * RBF(length_scale=19.7) + WhiteKernel(noise_level=0.00129),
A059,GPR预测区间下界,0.0811**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000193),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A060,GPR预测区间下界,0.0574**2 * RBF(length_scale=28.3) + WhiteKernel(noise_level=9.8e-06),
A061,无增长趋势,,
A062,无增长趋势,,
A063,GPR预测区间下界,0.12**2 * RBF(length_scale=16.9) + WhiteKernel(noise_level=3.42e-06),
A064,GPR预测区间下界,0.0991**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000102),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A065,GPR预测区间下界,0.0846**2 * RBF(length_scale=30.1) + WhiteKernel(noise_level=0.00114),
A066,GPR预测区间下界,0.0808**2 * RBF(length_scale=9.92) + WhiteKernel(noise_level=4.57e-05),
A067,GPR预测区间下界,0.0664**2 * RBF(length_scale=18.9) + WhiteKernel(noise_level=0.0002),
A068,无增长趋势,,
A069,无增长趋势,,
A070,GPR预测区间下界,0.0569**2 * RBF(length_scale=15.4) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A071,GPR预测区间下界,0.0785**2 * RBF(length_scale=19.5) + WhiteKernel(noise_level=0.000527),
A072,GPR预测区间下界,0.079**2 * RBF(length_scale=11.2) + WhiteKernel(noise_level=0.000186),
A073,无增长趋势,,
A074,GPR预测区间下界,0.0173**2 * RBF(length_scale=69.9) + WhiteKernel(noise_level=4.44e-05),
A075,GPR预测区间下界,0.0586**2 * RBF(length_scale=9.79) + WhiteKernel(noise_level=9.75e-06),
A076,GPR预测区间下界,0.183**2 * RBF(length_scale=22.6) + WhiteKernel(noise_level=2.96e-05),
A077,无增长趋势,,
A078,GPR预测区间下界,0.0657**2 * RBF(length_scale=15.5) + WhiteKernel(noise_level=5e-05),
A079,GPR预测区间下界,0.0437**2 * RBF(length_scale=5.37) + WhiteKernel(noise_level=1.1e-05),
A080,GPR预测区间下界,0.0797**2 * RBF(length_scale=23.8) + WhiteKernel(noise_level=0.000146),
A081,单点观测,,
A082,无增长趋势,,
A083,GPR预测区间下界,0.0241**2 * RBF(length_scale=100) + WhiteKernel(noise_level=2.13e-05),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A084,GPR预测区间下界,0.0848**2 * RBF(length_scale=46.8) + WhiteKernel(noise_level=0.000241),
A085,GPR预测区间下界,0.0581**2 * RBF(length_scale=100) + WhiteKernel(noise_level=7.73e-06),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A086,无增长趋势,,
A087,GPR预测区间下界,0.0643**2 * RBF(length_scale=7.23) + WhiteKernel(noise_level=0.000209),
A088,无增长趋势,,
A089,GPR预测区间下界,0.093**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000768),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A090,GPR预测区间下界,0.0789**2 * RBF(length_scale=16.2) + WhiteKernel(noise_level=0.000607),
A091,GPR预测区间下界,0.0864**2 * RBF(length_scale=12.4) + WhiteKernel(noise_level=1.99e-05),
A092,GPR预测区间下界,0.05**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000343),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A093,GPR预测区间下界,0.0573**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000784),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A094,GPR预测区间下界,0.0917**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000426),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A095,GPR预测区间下界,0.0373**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.0004),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A096,GPR预测区间下界,0.0545**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000166),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A097,GPR预测区间下界,0.046**2 * RBF(length_scale=30.7) + WhiteKernel(noise_level=5.07e-05),
A098,GPR预测区间下界,0.0411**2 * RBF(length_scale=100) + WhiteKernel(noise_level=8.5e-05),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A099,GPR预测区间下界,0.0503**2 * RBF(length_scale=15.7) + WhiteKernel(noise_level=0.000146),
A100,无增长趋势,,
A101,无增长趋势,,
A102,GPR预测区间下界,0.072**2 * RBF(length_scale=17.2) + WhiteKernel(noise_level=1.64e-05),
A103,无增长趋势,,
A104,GPR预测区间下界,0.0571**2 * RBF(length_scale=20.9) + WhiteKernel(noise_level=7.63e-07),
A105,GPR预测区间下界,0.0841**2 * RBF(length_scale=26.9) + WhiteKernel(noise_level=0.000119),
A106,GPR预测区间下界,0.0644**2 * RBF(length_scale=21.8) + WhiteKernel(noise_level=0.000118),
A107,GPR预测区间下界,0.0559**2 * RBF(length_scale=27.6) + WhiteKernel(noise_level=5.3e-06),
A108,无增长趋势,,
A109,GPR预测区间下界,0.0568**2 * RBF(length_scale=8.47) + WhiteKernel(noise_level=3.96e-05),
A110,GPR预测区间下界,0.101**2 * RBF(length_scale=19.6) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A111,GPR预测区间下界,0.0712**2 * RBF(length_scale=29.9) + WhiteKernel(noise_level=7.6e-05),
A112,GPR预测区间下界,0.0594**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.00188),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A113,无增长趋势,,
A114,GPR预测区间下界,0.0424**2 * RBF(length_scale=100) + WhiteKernel(noise_level=7.07e-05),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A115,GPR预测区间下界,0.0643**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.00038),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A116,单点观测,,
A117,GPR预测区间下界,0.132**2 * RBF(length_scale=14.5) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A118,单点观测,,
A119,GPR预测区间下界,0.0539**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000182),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A120,单点观测,,
A121,无增长趋势,,
A122,GPR预测区间下界,0.105**2 * RBF(length_scale=14.5) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A123,单点观测,,
A124,GPR预测区间下界,0.202**2 * RBF(length_scale=10.9) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A125,GPR预测区间下界,0.0885**2 * RBF(length_scale=16.1) + WhiteKernel(noise_level=0.000438),
A126,GPR预测区间下界,0.0472**2 * RBF(length_scale=19.8) + WhiteKernel(noise_level=5.21e-05),
A127,GPR预测区间下界,0.0857**2 * RBF(length_scale=7.11) + WhiteKernel(noise_level=3.24e-10),
A128,GPR预测区间下界,0.0516**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.00014),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A129,GPR预测区间下界,0.0839**2 * RBF(length_scale=20.3) + WhiteKernel(noise_level=0.000707),
A130,GPR预测区间下界,0.0962**2 * RBF(length_scale=11.4) + WhiteKernel(noise_level=0.000168),
A131,GPR预测区间下界,0.0851**2 * RBF(length_scale=65.1) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A132,GPR预测区间下界,0.0412**2 * RBF(length_scale=23.1) + WhiteKernel(noise_level=4.25e-05),
A133,GPR预测区间下界,0.088**2 * RBF(length_scale=61.9) + WhiteKernel(noise_level=8.05e-07),
A134,GPR预测区间下界,0.065**2 * RBF(length_scale=26.5) + WhiteKernel(noise_level=0.0002),
A135,GPR预测区间下界,0.0612**2 * RBF(length_scale=55.5) + WhiteKernel(noise_level=0.000151),
A136,GPR预测区间下界,0.0411**2 * RBF(length_scale=12.7) + WhiteKernel(noise_level=6.02e-05),
A137,GPR预测区间下界,0.0384**2 * RBF(length_scale=100) + WhiteKernel(noise_level=2.82e-05),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A138,GPR预测区间下界,0.0571**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.00167),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A139,GPR预测区间下界,0.0929**2 * RBF(length_scale=8.26) + WhiteKernel(noise_level=1e-10),The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-10. Decreasing the bound and calling fit again may find a better value.
A140,GPR预测区间下界,0.0462**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000124),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A141,GPR预测区间下界,0.114**2 * RBF(length_scale=21) + WhiteKernel(noise_level=0.000123),
A142,GPR预测区间下界,0.0625**2 * RBF(length_scale=12.1) + WhiteKernel(noise_level=0.000124),
A143,GPR预测区间下界,0.0976**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.00205),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A144,GPR预测区间下界,0.0687**2 * RBF(length_scale=5.55) + WhiteKernel(noise_level=1e-10),
A145,GPR预测区间下界,0.0784**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.00239),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
A146,GPR预测区间下界,0.0878**2 * RBF(length_scale=5.18) + WhiteKernel(noise_level=0.000109),
A147,GPR预测区间下界,0.0553**2 * RBF(length_scale=5.47) + WhiteKernel(noise_level=8.25e-05),
A148,无增长趋势,,
A149,GPR预测区间下界,0.0829**2 * RBF(length_scale=8.85) + WhiteKernel(noise_level=2.19e-05),
A150,GPR预测区间下界,0.073**2 * RBF(length_scale=100) + WhiteKernel(noise_level=0.000937),The optimal value found for dimension 0 of parameter k1__k2__length_scale is close to the specified upper bound 100.0. Increasing the bound and calling fit again may find a better value.
